exec ${PAGER:-/usr/bin/less} "$0" || exit 1
Executing tests from //tests:libtt_test_suite
-----------------------------------------------------------------------------
Platform 'tt' is experimental and not all JAX functionality may be correctly supported!
2026-09-24 07:17:12.562 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-09-24 07:17:12.562 | info     |             UMD | Cluster constructor started. (cluster.cpp:378)
2026-09-24 07:17:12.562 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-09-24 07:17:12.562 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-09-24 07:17:12.569 | info     |             UMD | Established firmware bundle version: 19.13.1 (topology_discovery.cpp:574)
2026-09-24 07:17:12.569 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-09-24 07:17:12.569 | warning  |             UMD | Board 0x4613193403b has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-24 07:17:12.569 | warning  |             UMD | Board 0x46131935046 has 1 chips, but expected 2 chips for board type p300. (cluster_descriptor.cpp:1232)
2026-09-24 07:17:12.608 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1}/[0, 3] and remote chip ids {} (cluster.cpp:162)
2026-09-24 07:17:12.608 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-09-24 07:17:12.608 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-09-24 07:17:12.608 | info     |             UMD | Cluster constructor completed. (cluster.cpp:574)
2026-09-24 07:17:12.609 | info     |             UMD | Starting devices in cluster (cluster.cpp:1092)
2026-09-24 07:17:12.610 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1100)
2026-09-24 07:17:12.657 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:437)
2026-09-24 07:17:12.657 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:499)
2026-09-24 07:17:12.657 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:12.657 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:12.657 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:12.657 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:12.657 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2400)
2026-09-24 07:17:12.657 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2408)
2026-09-24 07:17:15.433 | info     |           Metal | [Real-time profiler] Device 0 sync complete: 100 samples, frequency=1.350042 GHz, device_time_at_sync=11814283946276 cycles (realtime_profiler_manager.cpp:1390)
2026-09-24 07:17:15.433 | info     |           Metal | [Real-time profiler] Device 1 sync complete: 100 samples, frequency=1.350044 GHz, device_time_at_sync=8103607671515 cycles (realtime_profiler_manager.cpp:1390)
2026-09-24 07:17:15.443 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-9 connects to a remote mmio device (assert.hpp:104)
2026-09-24 07:17:15.444 | critical |          Always | TT_FATAL: Chip 0 logical eth core 0-8 connects to a remote mmio device (assert.hpp:104)
2026-09-24 07:17:15.444 | critical |          Always | TT_FATAL: Chip 1 logical eth core 0-3 connects to a remote mmio device (assert.hpp:104)
2026-09-24 07:17:15.444 | critical |          Always | TT_FATAL: Chip 1 logical eth core 0-2 connects to a remote mmio device (assert.hpp:104)
2026-09-24 07:17:15.559 | info     |           Metal | Fabric config changed from FabricConfig::DISABLED to FabricConfig::FABRIC_1D, reinitializing control plane (metal_env.cpp:333)
2026-09-24 07:17:15.559 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:437)
2026-09-24 07:17:15.559 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:499)
2026-09-24 07:17:15.559 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:15.559 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:15.559 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:15.559 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:106)
2026-09-24 07:17:15.559 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2400)
2026-09-24 07:17:15.559 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2} (topology_mapper_utils.cpp:2408)
2026-09-24 07:17:15.585 | info     |           Metal | Initializing Fabric (fabric_firmware_initializer.cpp:296)
2026-09-24 07:17:16.531 | info     |           Metal | Fabric initialized on Device 0 (device.cpp:550)
2026-09-24 07:17:16.531 | info     |           Metal | Fabric initialized on Device 1 (device.cpp:550)
